1.04536,8.17861,2.65965,1.43642,2.17892,4.83394,1.05553,0.82405,1.6072,15
1.04059,9.34724,-0.72174,1.36217,2.31292,3.28959,0.93295,1.09645,2.00217,15
0.370065,9.57117,-0.690011,1.77777,1.80863,2.45503,0.946615,0.75595,1.25988,15
0.370749,9.62566,-0.844873,2.23565,1.81729,2.27761,0.94659,0.9941,1.2054,15
1.54755,9.33609,-0.801559,2.09484,2.05772,1.61444,1.22582,1.662,1.28031,15
1.67721,9.12809,-1.10556,1.80469,3.17314,1.82956,1.2667,1.91365,1.2394,15
2.04141,9.37216,-0.325525,2.10608,3.97677,2.6761,1.6072,2.85345,1.51186,15
1.91298,9.46029,0.918417,2.00527,3.94872,2.58848,1.3825,2.54025,1.45733,15
0.622587,9.26456,0.622857,1.54387,4.22152,1.91618,0.84446,2.22695,1.03514,15
0.150229,9.61271,-0.602972,2.10794,3.43214,1.74638,1.57315,1.17135,0.87851,15
-0.0167578,9.63996,-0.95642,2.08368,1.89665,1.81405,0.99428,0.87875,1.16454,15
-0.25661,9.60797,-0.513352,1.59675,2.10116,1.80594,0.57205,1.34135,1.17135,15
-0.313269,9.79345,-0.500002,1.52501,2.54211,1.82674,0.68783,1.91385,1.32117,15
-0.175705,9.66634,-0.466768,1.49533,2.70555,1.93845,0.762735,2.152,1.36884,15
-0.49946,9.6466,-0.0378672,1.67375,2.58066,2.12923,0.919355,2.186,1.47779,15
-1.06716,9.60059,0.0826743,1.90903,2.80267,1.88212,1.30074,2.411,1.22584,15
-1.59685,9.49992,0.070965,1.53562,2.92913,1.39562,0.9943,2.19955,0.96708,15
-1.53842,9.35554,0.366252,1.35867,2.72389,1.43764,0.95335,2.31535,1.19177,15
-1.73047,9.2357,0.631165,1.36674,2.8531,1.43482,1.01471,2.35655,1.05559,15
-1.75852,9.36796,0.769414,1.47268,2.98138,1.37477,1.06921,2.82665,0.926182,15
-1.66359,9.53494,0.81477,1.33637,2.88296,1.40893,0.91939,2.7582,1.08962,15
-1.61374,9.62373,0.545089,1.27885,2.77248,1.40837,0.8036,2.29485,1.01471,15
