Id,SalePrice
1461,120129.03507438618
1462,152991.18079156772
1463,181979.10244398
1464,195937.6822256631
1465,197329.30205685706
1466,171219.81580837368
1467,178195.57250461399
1468,161110.77877363836
1469,193868.34333714627
1470,119914.40814224817
1471,189930.93929335833
1472,97359.03191508698
1473,96160.66467304801
1474,146353.91592752733
1475,113096.83982729803
1476,363250.35688401037
1477,250682.51434925798
1478,294490.5884169367
1479,299291.2403740536
1480,474865.2370063911
1481,325312.45255101303
1482,210807.4673069801
1483,176943.48277324866
1484,162682.39551260762
1485,191254.12971775618
1486,193087.55145747305
1487,339814.0713356078
1488,238340.45434220697
1489,193642.93722482066
1490,230976.6782389466
1491,195023.15897252728
1492,92756.59539810492
1493,189742.94955803186
1494,299883.45009746175
1495,293206.09814220545
1496,235691.82187756777
1497,179387.5918282397
1498,167681.46644508414
1499,162293.9137736326
1500,152439.8164653141
1501,174492.4794325937
1502,145502.94666226683
1503,290215.64887051086
1504,242517.675974405
1505,225593.88375176518
1506,188190.97505127333
1507,245818.75588668417
1508,202865.84071775508
1509,163864.15812287555
1510,143473.9819062941
1511,148037.9605476837
1512,175303.61033546808
1513,152349.31524741143
1514,155103.22557169723
1515,197250.7109947985
1516,157863.65288453133
1517,168273.04415923168
1518,132455.32215134957
1519,209170.44100943772
1520,127502.04748136931
1521,130072.65165238416
1522,178491.71189728388
1523,110130.45352704522
1524,125674.81860245917
1525,120212.15700865885
1526,113388.67023058559
1527,107534.4453454319
1528,137312.50306904697
1529,149722.59270376957
1530,184273.8954859248
1531,105976.51891439345
1532,98505.46859444502
1533,142745.86043853476
1534,127212.61577884201
1535,147668.97380070112
1536,106373.99541050669
1537,64754.597766823266
1538,147233.50729760056
1539,191877.38607889632
1540,94040.68703908293
1541,138702.35123532117
1542,139645.38849488378
1543,188958.05164869802
1544,84856.95657435192
1545,115146.65778724253
1546,135011.23024101567
1547,127883.62801359681
1548,138566.435402904
1549,119671.41154770239
1550,135575.86828931147
1551,108830.13486058786
1552,136309.36465803918
1553,148211.80249654717
1554,116885.05407785469
1555,160355.65880139207
1556,85466.81824628384
1557,105777.86254991591
1558,97328.35665512292
1559,63551.50160891451
1560,134334.3947920655
1561,129260.36320765718
1562,130048.79208435501
1563,117918.00383607943
1564,155065.94585746882
1565,150955.32958787846
