id,price_doc
30474,5281747.139
30475,8127178.492
30476,5164190.181
30477,5743134.675
30478,4953865.705
30479,9036703.999
30480,4195115.15
30481,4181923.674
30482,4656952.426
30483,4683968.919
30484,6264491.6
30485,4836959.202
30486,3568674.996
30487,3788540.856
30488,6062632.459
30489,6096839.432
30490,22252312.79
30491,19433863.07
30492,5686037.791
30493,13110812.24
30494,6724266.43
30495,10515454.92
30496,8326583.261
30497,8220758.691
30498,4519122.297
30499,8006523.663
30500,10986177.16
30501,6816983.828
30502,3016325.143
30503,6509013.444
30504,5586647.362
30505,11070811.44
30506,3234864.89
30507,4673796.411
30508,5307531.831
30509,7454384.566
30510,9140303.849
30511,6492175.083
30512,6146645.956
30513,4175816.888
30514,3454960.472
30515,9626731.965
30516,5757222.207
30517,10995916.93
30518,8195684.643
30519,4414430.518
30520,6887722.313
30521,5724054.131
30522,7487280.713
30523,6380569.498
30524,10457835.8
30525,11399198.53
30526,4846385.348
30527,4900651.83
30528,6539950.545
30529,6573900.839
30530,6200274.74
30531,14285517.97
30532,4700018.107
30533,10678773.76
30534,6562454.084
30535,9410497.131
30536,5787623.21
30537,11362620.24
30538,4783548.037
30539,8676080.766
30540,9562455.125
30541,5972732.732
30542,2094354.558
30543,5498329.207
30544,6568947.735
30545,8454003.575
30546,4077167.045
30547,9656539.68
30548,4462341.677
30549,5007392.882
30550,11955850.59
30551,5063976.313
30552,1800884.405
30553,7125736.775
30554,10771231.65
30555,6166822.134
30556,8985196.666
30557,7068434.048
30558,9352896.757
30559,6085557.293
30560,6086406.73
30561,6695061.584
30562,12261053.12
30563,4897406.05
30564,7090397.547
30565,6499690.543
30566,6914163.243
30567,1951631.617
30568,9739810.112
30569,9670481.546
30570,6624562.71
30571,7408022.716
30572,4790757.427
30573,6394620.509
30574,5877990.636
30575,7422986.4
30576,4797157.226
30577,4024690.208
30578,3227614.389
30579,6876918.627
30580,4381905.187
30581,5442960.121
30582,12537413.64
30583,6783071.319
30584,4270089.189
30585,2467164.538
30586,9149202.552
30587,5685454.475
30588,7633451.955
30589,7145261.491
30590,12324863.2
30591,5230503.273
30592,6253597.642
30593,7751187.283
30594,6699024.704
30595,5398656.071
30596,6423007.38
30597,6391704.209
30598,9467073.085
30599,10372421.71
30600,4978319.299
30601,5823985.516
30602,1703251.508
30603,12031046.22
30604,4501666.877
30605,6627723.296
30606,24139530.12
30607,6665673.749
30608,8554661.038
30609,6097714.501
30610,2958291.509
30611,5394647.743
30612,7036580.07
30613,8637523.104
30614,16557938.41
30615,7323831.156
30616,5507173.613
30617,9159009.66
30618,4889947.096
30619,4210199.481
30620,2579117.669
30621,8854325.347
30622,7510956.638
30623,6190641.21
30624,6701838.529
30625,7988330.441
30626,6101594.106
30627,7139167.816
30628,6315084.067
30629,5235906.67
30630,4663600.182
30631,6052501.273
30632,4049825.947
30633,5763231.935
30634,11322600.9
30635,9529843.683
30636,5268293.815
30637,9492660.068
30638,5808990.057
30639,7503549.611
30640,4533953.286
30641,8001180.805
30642,6455210.624
30643,7672032.531
30644,9458634.384
30645,7227731.882
30646,5186082.068
30647,4680073.132
30648,23320910.09
30649,2093994.052
30650,4943983.34
30651,3347404.093
30652,4423513.368
30653,7106811.782
30654,4381900.968
30655,12672841.59
30656,3909631.289
30657,6289221.644
30658,10757445
30659,4667700.222
30660,8380103.723
30661,6563853.27
30662,8207786.845
30663,16269916.71
30664,11897956.84
30665,6067943.265
30666,2524435.574
30667,4121580.158
30668,8867881.869
30669,4853842.474
30670,2403594.642
30671,7020956.561
30672,15635177.39
30673,10180384.5
30674,11304337.19
30675,2042686.253
30676,6639157.434
30677,4170747.916
