id,price_doc
30474,5207614.5
30475,8125289.5
30476,5213821.0
30477,5676614.5
30478,4879944.0
30479,9110487.0
30480,4112469.0
30481,4134695.75
30482,4645200.5
30483,4622675.5
30484,6285111.5
30485,4865464.0
30486,3500010.0
30487,3678355.0
30488,5976740.5
30489,6061332.5
30490,22886948.0
30491,19887446.0
30492,5610945.5
30493,13520322.0
30494,6551551.0
30495,10653270.0
30496,8598639.0
30497,8359798.0
30498,4461400.0
30499,7967076.0
30500,11039175.0
30501,6837816.0
30502,2957290.75
30503,6587192.5
30504,5608618.5
30505,11261242.0
30506,3222399.25
30507,4617604.0
30508,5246952.0
30509,7446464.0
30510,9105935.0
30511,6528773.0
30512,6165351.5
30513,4124306.75
30514,3328642.0
30515,9612631.0
30516,5752113.0
30517,11171518.0
30518,8303820.0
30519,4350556.5
30520,6959293.5
30521,5903032.0
30522,7497842.0
30523,6415556.5
30524,10503441.0
30525,11415347.0
30526,4745545.5
30527,4818879.5
30528,6695432.5
30529,6587192.5
30530,6045578.0
30531,14664474.0
30532,4711800.0
30533,10659794.0
30534,6561599.0
30535,9388629.0
30536,5724717.0
30537,11695843.0
30538,4736304.0
30539,8911706.0
30540,9560190.0
30541,5998170.5
30542,2051589.375
30543,5541214.5
30544,6672943.0
30545,8268583.5
30546,4014029.0
30547,9649149.0
30548,4389330.5
30549,4998480.0
30550,12190946.0
30551,4996898.0
30552,1752185.125
30553,7213995.0
30554,10994020.0
30555,6103689.5
30556,8855520.0
30557,7540681.0
30558,9323494.0
30559,6322143.0
30560,6077371.5
30561,6703502.0
30562,12180394.0
30563,4844309.5
30564,7118908.5
30565,6575355.5
30566,6909925.0
30567,1862411.5
30568,9723289.0
30569,9770696.0
30570,6571826.0
30571,7418239.0
30572,4750780.0
30573,6350429.0
30574,6045560.5
30575,7586043.5
30576,4716183.0
30577,4045882.0
30578,3174568.0
30579,6924748.5
30580,4494835.0
30581,5463475.0
30582,12764407.0
30583,6734676.0
30584,4230866.5
30585,2402770.25
30586,9094566.0
30587,5642078.0
30588,7813888.0
30589,7288903.5
30590,12453057.0
30591,5199897.5
30592,6410816.5
30593,7967289.0
30594,6841488.5
30595,5456513.0
30596,6539441.0
30597,6351919.0
30598,9466706.0
30599,10527890.0
30600,5022075.0
30601,5809281.0
30602,1595935.125
30603,12120139.0
30604,4459630.5
30605,6545000.0
30606,24459270.0
30607,6663455.0
30608,8567828.0
30609,6063969.0
30610,2899054.5
30611,5294861.5
30612,7099119.0
30613,8551420.0
30614,16396108.0
30615,7428632.0
30616,5405707.5
30617,9102705.0
30618,4802501.0
30619,4192908.5
30620,2488607.5
30621,8848504.0
30622,7592977.5
30623,6153298.0
30624,6718612.5
30625,8001630.5
30626,6124219.5
30627,7190833.5
30628,6280635.5
30629,5209070.0
30630,4589410.0
30631,5992196.0
30632,3942033.25
30633,5728359.5
30634,11415673.0
30635,9543975.0
30636,5199823.0
30637,9502072.0
30638,5901501.0
30639,7435287.5
30640,4490953.0
30641,8084224.0
30642,6399687.0
30643,7771342.0
30644,9466706.0
30645,7176796.0
30646,5091023.0
30647,4588526.0
30648,23975894.0
30649,2013919.75
30650,4867074.5
30651,3328550.0
30652,4364690.0
30653,7209208.5
30654,4268252.5
30655,12844979.0
30656,3852295.75
30657,6305825.0
30658,10901641.0
30659,4607420.5
30660,8365596.0
30661,6603640.5
30662,8210819.5
30663,16916286.0
30664,11801860.0
30665,6026432.0
30666,2484505.0
30667,4008577.75
30668,8937734.0
30669,4801237.0
30670,2387550.75
30671,7167671.5
30672,16128738.0
30673,10424147.0
30674,11524161.0
30675,1978098.0
30676,6670919.5
30677,3938272.0
30678,20047898.0
30679,5730889.5
30680,4958319.0
30681,2325538.0
30682,8750455.0
30683,9497868.0
30684,4661358.0
30685,7504795.5
30686,9436168.0
30687,4919850.5
30688,4316609.5
30689,13899440.0
30690,25815814.0
30691,4305480.0
30692,5968054.5
30693,11146934.0
30694,5495828.0
30695,6975992.0
30696,6468841.0
30697,12155978.0
30698,7616962.0
30699,5830500.0
30700,4810298.0
30701,9466706.0
30702,6015006.0
30703,3682830.25
30704,11539404.0
30705,8865787.0
30706,24710798.0
30707,3452138.25
30708,13640301.0
30709,5953513.5
30710,6662025.5
30711,4437802.0
30712,3914636.25
30713,6141256.5
30714,6903167.0
30715,3787742.25
30716,9497868.0
30717,6008436.0
30718,8312995.0
30719,14160827.0
30720,7417454.0
30721,4505620.0
30722,7101712.5
30723,6015763.5
30724,12212659.0
30725,6696377.5
30726,11657536.0
30727,9626520.0
